code	product_name_fr	generic_name_fr	quantity	packaging	brands	categories	allergens	energy.kcal_value	fat_value	saturated.fat_value	sugars_value	proteins_value	salt_value	off.nutriscore_score	Sandwich
2000000023643	Salade chicken coleslaw	Salade composée d'un mélange d'émincé de chou blanc, carotte râpée et d'oignon blanc avec une sauce au fromage blanc, de salade, de morceaux de filet de poulet saumuré rôti, de cheddar et de tomate cerise.	255 g	Plastique, Barquette	McDonald's	Plats préparés, Produits à la viande, en:salads, Plats préparés à la viande, Salades composées, Plats à la volaille, Plats au poulet, Salades de légumes	Œufs, Lait, Moutarde	97	5,3	2	4,3	6,7	0,6	-3	Non
2000000067583	McWrap Bœuf Deluxe	NA	184,2 g	Carton	McDonald's	Plats préparés, Produits à la viande, Sandwichs, Plats préparés à la viande, Plats au bœuf, Wraps	Œufs, Gluten, Lait, Moutarde	NA	14	5,4	2,1	10	1,5	13	Oui
2000000022875	LE CBO™	NA	232,4 g	Boîte, Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
2000000112543	McChoconuts nappage Choconuts	NA	~ 102 g	Papier, Carton	McDonald's	Snacks, Snacks sucrés	Gluten, Lait, Fruits à coque, Arachides, Soja	425	17	11	26	9,8	0,69	18	Non
2000000045785	Mon Jus de Pomme Bio	Pur jus de Pomme	30 cl	Tetra Pak, Brik	McDonald's	Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus de fruits pur jus, Jus de pomme	NA	NA	0	0	12	0	0	5	Non
2000000003788	Minute Maid (30cl) *	Jus d'orange à base de concentré.	300 g	Carton, Gobelet	McDonald's	Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus de fruits à base de concentré, Jus d'orange, Jus d'orange à base de concentré	NA	45	0	0	11	0	0	5	Non
2000000003787	Lipton Ice Tea Pêche	Thé glacé saveur pêche	40 cl	Carton, Gobelet	McDonald's	Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté	NA	25	0	0	7	0	0	9	Non
2000000003785	Sprite	Boisson gazeuse aromatisée	40 cl /413 g	Carton, Gobelet	McDonald's	Boissons, Boissons gazeuses, Sodas, Boissons avec sucre ajouté	NA	30	0	0	7	0	0	10	Non
2000000047065	Sauce Tartare	Sauce tartare pour hamburgers	750 ml	Plastique, Carton, Flacon	McDonald's	en:groceries, Sauces, Sauces tartare	Œufs, Moutarde	NA	NA	NA	NA	NA	NA	NA	Non
2000000000088	Royal Cheese	NA	206 g environ	Boîte, Carton	McDonald's	Sandwichs, Cheeseburgers, Hamburgers	Gluten, Lait, Moutarde, Graines de sésame	NA	28	14	10	32	2,6	14	Oui
2000000056723	Big Mac Bacon	NA	220 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame	529	27	10	8	29	2,4	10	Oui
2000000002605	LE CROQUE McDo™	Pain spécial, fromage fondu, jambon.	95 g	Papier, Sachet	McDonald's	Sandwichs, Croque-monsieur	Gluten, Lait, Graines de sésame	258	9,9	5,7	5,2	14	1,9	15	Oui
2000000116368	LE 280™ ORIGINAL	NA	325.5 g	Boîte	McDonald's	Sandwichs, Hamburgers, Hamburgers de fast food	Œufs, Gluten, Lait, Moutarde, Graines de sésame	778	42	19	4	44	3,5	10	Oui
2000000116369	McFIRST™ POISSON	NA	191 g	Boîte	McDonald's	Sandwichs, Hamburgers, Hamburgers de fast food	Œufs, Poisson, Gluten, Lait, Graines de sésame	384	14	4	10	18	1,9	3	Oui
2000000116370	McFIRST™ POULET	NA	210.7 g	Boîte	McDonald's	Sandwichs, Hamburgers, Hamburgers de fast food	Céleri, Œufs, Gluten, Lait, Moutarde, Graines de sésame	436	18	5	10	21	2,7	4	Oui
2000000003771	LE McWRAP™ CHÈVRE	Spécialité panée à base de fromage de chèvre et oignons préparés et frits, sauce saveur chèvre, salade et tomate, le tout dans une galette de blé.	214 g	Carton	McDonald's	Sandwichs, Wraps	Céleri, Œufs, Gluten, Lait, Moutarde, Soja	536	26	8	4	15	2	5	Oui
2000000035054	Chicken Big Tasty Bacon	NA	320,9 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
2000000018336	280 recette originale	NA	~ 325,82 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Fruits à coque, Graines de sésame	239	13	5,8	1	14	1,1	10	Oui
2000000116432	LE CBO™	NA	232.4 g	Boîte, Carton	McDonald's	Sandwichs, Burger au poulet	Œufs, Gluten, Lait, Moutarde, Graines de sésame	660	34	7	7	26	3	4	Oui
2000000017868	6 Chicken McNuggets	Spécialité panée au poulet	106 g	Boîte, Carton	McDonald's	Viandes, Plats préparés, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet, Nuggets	Céleri, Gluten	251	17	14	17	16	1,2	21	Non
2000000003763	20 Chicken McNuggets	Spécialités panées au poulet.	355 g	Carton	McDonald's	Viandes, Préparations de viande, Volailles, Produits panés, Poulets, Volailles cuites, Préparations au poulet, Poulets cuisinés, Nuggets de volaille, Poulets panés, Nuggets de poulet, Nuggets	Céleri, Gluten	893	46	5,5	1,4	56	4,2	NA	Non
2000000019074	McFlurry M&M's	Glace à base de lait et éclats de M&M's	173 g	Plastique, Pot, Surgelé	McDonald's	Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Crèmes glacées en pot	Lait, Fruits à coque, Arachides, Soja	NA	NA	NA	NA	NA	NA	NA	Non
2000000003285	Cheeseburger	Pain spécial, steak haché, fromage fondu, oignon, cornichon, moutarde, ketchup.	120 g	Papier	McDonald's	Sandwichs, Cheeseburgers	Gluten, Lait, Moutarde, Graines de sésame, Anhydride sulfureux et sulfites	304	13	6,1	7,3	16	1,7	14	Oui
2000000003778	Deluxe Potatoes Moyenne	Morceaux de pomme de terre frits et épicés	110 g	Papier, Sachet	McDonald's	Chips et frites, Frites, Pommes de terre frites	Anhydride sulfureux et sulfites, E220	195	9	1	0	3	1,2	3	Non
2000000025631	McFish	NA	124 g	Papier	McDonald's	Sandwichs, Hamburgers	Crustacés, Poisson, Gluten, Lait, Graines de sésame, Soja	NA	NA	NA	NA	NA	NA	NA	Oui
2000000017631	Mc Chicken	Pain spécial, spécialité panée au poulet, salade, sauce	195 g	Boîte, Carton, da:Pap 21	McDonald's	Sandwichs, Hamburgers, Burger au poulet	Œufs, Gluten, Lait, Moutarde, Graines de sésame	443	19	2,3	6,4	10,8	1,9	13	Oui
2000000017952	Poulet Ranch Ketchup	Pain spécial aux graines de sésame et de pavot, spécialité panée au poulet, cheddar fondu, oignons, cornichons, salade, ketchup, sauce Ranch	210 g	Carton	McDonald's	Sandwichs, Hamburgers	Céleri, Œufs, Gluten, Lait, Graines de sésame, Anhydride sulfureux et sulfites	NA	NA	NA	NA	NA	NA	NA	Oui
2000000021927	Grand Premium Fries (moyenne portion)	Frites assaisonnées et croustillantes	92 g	Papier, Sachet	McDonald's	Chips et frites, Frites	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000003781	Frites Moyenne	Bâtonnets de Pommes de terre frites	114 g	Sachet, Carton	McDonald's	Chips et frites, Frites	NA	341	17	1,5	0,4	3,42	0,55	4	Non
2000000003754	Petite Frite	Bâtonnets de pommes de terre frites	80 g	Papier, Sachet	McDonald's	Chips et frites, Frites	NA	NA	15	1,3	0,4	3,8	0,5	0	Non
2000000029054	Poisson Ranch	pain spécial aux graines de sésame et de pavot, poisson pan, cheddar fondu, oignons, salade, ketchup, sauce Ranch	192,1 g	Boîte, Carton	McDonald's	Sandwichs, Hamburgers, Burgers au poisson	Crustacés, Œufs, Poisson, Gluten, Lait, Graines de sésame	NA	NA	NA	NA	NA	NA	NA	Oui
